"Kolikšno breme predstavljajo stanovanjski stroški za gospodinjstva, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA","2008 Veliko breme","2008 Srednje veliko breme","2008 Niso breme","2009 Veliko breme","2009 Srednje veliko breme","2009 Niso breme","2010 Veliko breme","2010 Srednje veliko breme","2010 Niso breme","2011 Veliko breme","2011 Srednje veliko breme","2011 Niso breme","2012 Veliko breme","2012 Srednje veliko breme","2012 Niso breme","2013 Veliko breme","2013 Srednje veliko breme","2013 Niso breme","2014 Veliko breme","2014 Srednje veliko breme","2014 Niso breme","2015 Veliko breme","2015 Srednje veliko breme","2015 Niso breme","2016 Veliko breme","2016 Srednje veliko breme","2016 Niso breme","2017 Veliko breme","2017 Srednje veliko breme","2017 Niso breme","2018 Veliko breme","2018 Srednje veliko breme","2018 Niso breme","2019 Veliko breme","2019 Srednje veliko breme","2019 Niso breme","2020 Veliko breme","2020 Srednje veliko breme","2020 Niso breme"
"Pomurska",38,53,9,40,49,11,43,51,6,46,49,5,41,54,5,34,62,4,35,57,8,30,58,12,30,61,9,35,59,6,38,56,6,33,59,8,29,61,10
"Podravska",42,47,11,41,51,8,45,47,9,46,46,8,39,52,9,46,46,8,41,47,12,38,49,13,36,49,15,41,48,10,39,52,9,36,50,14,32,54,14
"Koroška",39,50,11,45,47,8,48,47,5,43,49,9,37,51,12,42,49,9,39,51,10,39,49,12,36,51,13,37,56,7,35,58,7,34,57,9,35,58,7
"Savinjska",39,46,15,44,47,9,45,46,10,43,49,8,39,52,9,40,51,9,38,54,8,34,52,13,36,52,12,41,51,8,42,49,9,36,54,10,29,58,13
"Zasavska",41,46,13,42,48,11,34,58,8,47,45,8,39,50,11,39,53,8,47,43,9,38,54,8,42,49,9,46,47,7,43,49,8,40,42,19,36,53,11
"Posavska",42,47,10,40,53,7,35,52,13,41,47,12,38,54,8,54,41,5,48,45,7,39,51,10,36,55,9,40,42,18,37,45,18,35,50,15,28,60,12
"Jugovzhodna Slovenija",45,43,12,39,52,10,37,53,9,42,49,9,36,54,10,42,51,7,39,50,11,33,53,14,33,52,14,29,58,13,33,52,15,36,52,13,27,60,13
"Osrednjeslovenska",29,53,19,30,56,14,30,55,15,35,52,13,34,53,13,33,54,13,32,53,15,28,53,19,26,53,21,31,55,15,30,56,14,28,54,17,22,61,17
"Gorenjska",29,56,15,32,56,12,33,54,12,34,57,9,33,54,13,38,47,15,33,53,13,28,56,16,30,53,17,31,52,16,26,55,19,24,54,22,20,60,20
"Primorsko-notranjska",26,61,13,44,47,9,32,57,11,42,47,10,30,54,16,38,54,8,39,49,12,32,55,13,28,58,13,34,48,18,35,51,14,37,53,10,32,60,8
"Goriška",23,64,13,28,58,14,33,58,9,34,58,8,30,61,8,28,63,9,33,57,10,33,55,11,30,57,13,36,53,10,34,55,12,24,56,20,22,64,14
"Obalno-kraška",31,56,13,32,58,10,32,59,9,38,53,9,33,53,13,36,55,9,35,54,11,32,53,15,28,59,13,38,52,10,34,54,12,29,54,17,24,60,16
